Order ID,Order Date,Category,Region,Sales,Quantity,Discount,Profit
ORD-10211,2024-01-03,Technology,East,762.1,4,0.14,146.86
ORD-10401,2024-01-04,Technology,South,296.02,4,0.21,19.42
ORD-10069,2024-01-05,Technology,East,1125.0,2,0.14,-49.8
ORD-10079,2024-01-05,Furniture,West,485.9,6,0.26,-50.12
ORD-10573,2024-01-05,Furniture,West,815.45,7,0.17,-38.77
ORD-10018,2024-01-05,Furniture,Central,231.68,4,0.12,-17.73
ORD-10468,2024-01-05,Furniture,West,561.65,5,0.08,-18.04
ORD-10576,2024-01-06,Office Supplies,Central,111.55,6,0.1,13.73
ORD-10365,2024-01-06,Technology,Central,411.94,7,0.24,63.95
ORD-10331,2024-01-07,Office Supplies,Central,55.43,7,0.12,1.79
ORD-10370,2024-01-08,Office Supplies,South,269.55,4,0.15,15.44
ORD-10358,2024-01-09,Office Supplies,Central,133.83,5,0.16,5.11
ORD-10499,2024-01-10,Office Supplies,East,69.12,2,0.08,8.54
ORD-10240,2024-01-13,Furniture,East,683.3,3,0.34,-49.2
ORD-10105,2024-01-14,Office Supplies,West,174.88,4,0.19,14.23
ORD-10260,2024-01-14,Office Supplies,Central,69.84,1,0.15,9.62
ORD-10168,2024-01-15,Office Supplies,West,204.35,5,0.09,-11.48
ORD-10400,2024-01-15,Furniture,West,432.78,3,0.15,-13.57
ORD-10311,2024-01-16,Furniture,South,510.04,6,0.09,20.68
ORD-10065,2024-01-18,Technology,East,126.27,1,0.01,38.82
ORD-10007,2024-01-21,Technology,East,253.48,6,0.0,29.43
ORD-10123,2024-01-21,Office Supplies,West,117.69,4,0.31,-22.23
ORD-10390,2024-01-21,Furniture,West,20.0,6,0.17,-0.24
ORD-10407,2024-01-25,Technology,West,524.66,4,0.04,54.87
ORD-10403,2024-01-29,Furniture,East,788.63,2,0.14,48.91
ORD-10304,2024-01-30,Technology,West,750.55,2,0.06,140.47
ORD-10231,2024-01-30,Office Supplies,East,20.0,5,0.15,0.18
ORD-10504,2024-02-02,Office Supplies,West,292.76,5,0.1,18.78
ORD-10510,2024-02-04,Office Supplies,East,49.29,5,0.13,6.33
ORD-10119,2024-02-04,Office Supplies,Central,133.91,5,0.14,5.82
ORD-10225,2024-02-06,Office Supplies,South,27.33,6,0.08,5.05
ORD-10060,2024-02-07,Furniture,West,635.8,3,0.17,20.25
ORD-10314,2024-02-08,Office Supplies,West,212.01,2,0.11,23.94
ORD-10428,2024-02-09,Office Supplies,East,618.29,7,0.07,49.04
ORD-10496,2024-02-09,Furniture,West,698.28,4,0.11,54.13
ORD-10229,2024-02-11,Office Supplies,Central,37.67,7,0.21,-2.52
ORD-10425,2024-02-12,Technology,East,203.31,6,0.14,5.49
ORD-10244,2024-02-14,Office Supplies,West,307.27,4,0.17,5.94
ORD-10153,2024-02-15,Office Supplies,West,174.97,3,0.24,17.89
ORD-10109,2024-02-15,Office Supplies,East,394.84,1,0.2,2.42
ORD-10237,2024-02-15,Office Supplies,West,378.69,2,0.02,54.52
ORD-10164,2024-02-15,Furniture,West,149.76,6,0.27,0.36
ORD-10064,2024-02-16,Office Supplies,West,354.88,3,0.14,-14.75
ORD-10081,2024-02-20,Office Supplies,South,239.9,6,0.04,42.49
ORD-10375,2024-02-21,Office Supplies,Central,85.18,6,0.25,1.2
